track_popularity,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
7,pop,electropop,0.665,0.6,11,-7.396,0,0.0344,0.0103,0.455,0.0928,0.595,102.002,247920
48,rap,trap,0.62,0.59,5,-8.289,0,0.0497,0.342,0.0,0.0958,0.27,160.026,192000
2,rap,trap,0.703,0.376,6,-17.772,0,0.0752,0.278,0.0,0.054,0.65,140.015,213618
4,rap,hip hop,0.583,0.527,11,-7.876,1,0.0733,0.715,6.7e-06,0.154,0.395,97.346,187036
0,rap,trap,0.594,0.393,5,-10.027,0,0.0809,0.222,2.24e-06,0.0941,0.425,106.821,303073
11,rap,hip hop,0.573,0.177,3,-18.774,0,0.347,0.922,0.6,0.108,0.312,130.187,169796
79,r&b,urban contemporary,0.886,0.336,4,-12.779,1,0.239,0.557,0.0,0.0933,0.536,100.044,230448
21,pop,indie poptimism,0.663,0.237,10,-15.844,0,0.0506,0.892,0.304,0.0788,0.236,74.97,132800
38,pop,dance pop,0.826,0.569,5,-7.18,1,0.0473,0.287,0.000491,0.0449,0.555,105.014,215140
30,rock,permanent wave,0.302,0.979,8,-5.279,1,0.127,0.000223,0.326,0.104,0.194,159.968,246844
54,latin,reggaeton,0.789,0.765,9,-4.143,0,0.118,0.49,0.0,0.623,0.491,95.075,227603
52,rap,hip hop,0.517,0.509,3,-9.917,1,0.137,0.407,0.311,0.251,0.37,74.98,96343
50,latin,reggaeton,0.786,0.892,6,-3.442,0,0.215,0.002,0.0,0.0513,0.401,179.904,152009
41,pop,indie poptimism,0.486,0.389,4,-7.717,1,0.029,0.691,0.0,0.085,0.0869,127.536,206102
57,rap,hip hop,0.809,0.632,11,-7.626,0,0.186,0.26,1.05e-05,0.0716,0.519,140.036,214247
55,rap,hip hop,0.771,0.636,7,-4.52,1,0.217,0.115,0.0,0.217,0.741,99.985,120959
36,latin,reggaeton,0.704,0.718,10,-6.791,1,0.205,0.166,0.0,0.0898,0.382,98.044,257150
35,pop,indie poptimism,0.512,0.328,7,-11.939,1,0.0338,0.867,0.0208,0.143,0.0729,78.017,303313
40,pop,indie poptimism,0.585,0.29,7,-14.767,1,0.143,0.556,1.17e-05,0.308,0.305,158.021,224153
56,rap,trap,0.701,0.465,10,-11.468,0,0.509,0.341,0.000167,0.664,0.41,102.02,209779
32,rock,permanent wave,0.626,0.621,2,-8.665,1,0.0443,0.0263,2.64e-05,0.204,0.708,150.089,197354
40,pop,indie poptimism,0.553,0.578,11,-7.745,0,0.304,0.0363,0.0,0.4,0.417,85.951,137561
20,edm,pop edm,0.625,0.877,3,-6.934,1,0.0605,0.229,0.000889,0.0794,0.234,128.005,210000
46,pop,indie poptimism,0.684,0.58,1,-9.947,1,0.148,0.000479,0.000216,0.113,0.212,123.954,194093
44,pop,indie poptimism,0.938,0.608,0,-9.963,0,0.146,0.217,0.00114,0.131,0.91,133.99,209250
25,latin,tropical,0.739,0.799,9,-5.316,0,0.0346,0.202,0.000864,0.268,0.833,137.945,230217
54,rap,hip hop,0.705,0.651,0,-5.794,0,0.0765,0.079,0.0,0.113,0.569,127.902,163904
40,r&b,hip pop,0.9,0.83,2,-5.812,1,0.0742,0.121,9.67e-06,0.214,0.714,104.998,174857
47,pop,indie poptimism,0.55,0.182,10,-12.543,1,0.0306,0.72,0.0,0.165,0.369,94.806,164153
79,pop,post-teen pop,0.378,0.388,10,-9.017,1,0.036,0.472,0.0,0.157,0.188,72.293,248987
35,latin,tropical,0.869,0.911,10,-4.458,0,0.0487,0.158,0.0,0.0654,0.972,145.061,209517
50,latin,reggaeton,0.82,0.782,10,-2.474,1,0.0557,0.409,1.29e-05,0.107,0.805,88.031,137384
